geo_level,geo_code,name,variable,value
subcounty,,Katulani,Male,23150
subcounty,,Kauma,Intersex,
subcounty,,Kauma,Male,10965
subcounty,,Kauma,Female,11673
subcounty,,Kauma,Total,22638
subcounty,,Keiyo North,Intersex,1
subcounty,,Keiyo North,Female,49574
subcounty,,Keiyo North,Male,49601
subcounty,,Keiyo North,Total,99176
subcounty,,Keiyo South,Total,120750
subcounty,,Keiyo South,Female,59827
subcounty,,Keiyo South,Male,60919
subcounty,,Keiyo South,Intersex,4
subcounty,,Kenyenya,Intersex,3
subcounty,,Kenyenya,Total,131740
subcounty,,Kenyenya,Male,62859
subcounty,,Kenyenya,Female,68878
subcounty,,Kericho East,Female,83947
subcounty,,Kericho East,Intersex,7
subcounty,,Kericho East,Male,86671
subcounty,,Kericho East,Total,170625
subcounty,,Kesses,Male,74301
subcounty,,Kesses,Female,74493
subcounty,,Kesses,Total,148798
subcounty,,Kesses,Intersex,4
subcounty,,Khwisero,Intersex,3
subcounty,,Khwisero,Male,53670
subcounty,,Khwisero,Total,113476
subcounty,,Khwisero,Female,59803
subcounty,,Kiambaa,Male,115690
subcounty,,Kiambaa,Total,236400
subcounty,,Kiambaa,Intersex,15
subcounty,,Kiambaa,Female,120695
subcounty,,Kiambu,Female,76225
subcounty,,Kiambu,Total,145903
subcounty,,Kiambu,Intersex,17
subcounty,,Kiambu,Male,69661
subcounty,,Kibish,Intersex,1
subcounty,,Kibish,Male,18651
subcounty,,Kibish,Total,36769
subcounty,,Kibish,Female,18117
subcounty,,Kibra,Female,91569
subcounty,,Kibra,Male,94199
subcounty,,Kibra,Total,185777
subcounty,,Kibra,Intersex,9
subcounty,,Kibwezi,Female,98517
subcounty,,Kibwezi,Total,197000
subcounty,,Kibwezi,Intersex,6
subcounty,,Kibwezi,Male,98477
subcounty,,Kieni East,Male,55360
subcounty,,Kieni East,Total,110376
subcounty,,Kieni East,Female,55012
subcounty,,Kieni East,Intersex,4
subcounty,,Kieni West,Total,88525
subcounty,,Kieni West,Female,44677
subcounty,,Kieni West,Intersex,5
subcounty,,Kieni West,Male,43843
subcounty,,Kigumo,Female,68929
subcounty,,Kigumo,Intersex,3
subcounty,,Kigumo,Total,136921
subcounty,,Kigumo,Male,67989
subcounty,,Kikuyu,Female,96198
subcounty,,Kikuyu,Male,90919
subcounty,,Kikuyu,Intersex,5
subcounty,,Kikuyu,Total,187122
subcounty,,Kilifi North,Female,91836
subcounty,,Kilifi North,Intersex,2
subcounty,,Kilifi North,Male,86986
subcounty,,Kilifi North,Total,178824
subcounty,,Kilifi South,Intersex,4
subcounty,,Kilifi South,Female,104897
subcounty,,Kilifi South,Male,101852
subcounty,,Kilifi South,Total,206753
subcounty,,Kilungu,Total,60952
subcounty,,Kilungu,Male,29019
subcounty,,Kilungu,Female,31932
subcounty,,Kilungu,Intersex,1
subcounty,,Kimilili-Bungoma,Total,162038
subcounty,,Kimilili-Bungoma,Female,83475
subcounty,,Kimilili-Bungoma,Male,78560
subcounty,,Kimilili-Bungoma,Intersex,3
subcounty,,Kiminini,Female,124730
subcounty,,Kiminini,Male,118087
subcounty,,Kiminini,Intersex,6
subcounty,,Kiminini,Total,242823
subcounty,,Kinango,Total,94220
subcounty,,Kinango,Intersex,1
subcounty,,Kinango,Male,45413
subcounty,,Kinango,Female,48806
subcounty,,Kinangop,Intersex,4
subcounty,,Kinangop,Female,56679
subcounty,,Kinangop,Total,111410
subcounty,,Kinangop,Male,54727
subcounty,,Kipipiri,Intersex,2
subcounty,,Kipipiri,Female,47740
subcounty,,Kipipiri,Total,93855
subcounty,,Kipipiri,Male,46113
subcounty,,Kipkelion,Total,122530
subcounty,,Kipkelion,Male,61066
subcounty,,Kipkelion,Female,61460
subcounty,,Kipkelion,Intersex,4
subcounty,,Kipkomo,Total,102633
subcounty,,Kipkomo,Intersex,7
subcounty,,Kipkomo,Female,51703
subcounty,,Kipkomo,Male,50923
subcounty,,Kirinyaga Central,Female,62617
subcounty,,Kirinyaga Central,Intersex,5
subcounty,,Kirinyaga Central,Male,60118
subcounty,,Kirinyaga Central,Total,122740
subcounty,,Kirinyaga East,Total,135559
subcounty,,Kirinyaga East,Female,68514
subcounty,,Kirinyaga East,Male,67037
subcounty,,Kirinyaga East,Intersex,8
subcounty,,Kirinyaga West,Total,114660
subcounty,,Kirinyaga West,Male,56154
subcounty,,Kirinyaga West,Female,58502
subcounty,,Kirinyaga West,Intersex,4
subcounty,,Kisasi,Male,22646
subcounty,,Kisasi,Total,46142
subcounty,,Kisasi,Female,23496
subcounty,,Kisasi,Intersex,
subcounty,,Kisauni,Female,145176
subcounty,,Kisauni,Total,291930
subcounty,,Kisauni,Male,146748
subcounty,,Kisauni,Intersex,6
subcounty,,Kisii Central,Male,81330
subcounty,,Kisii Central,Female,85573
subcounty,,Kisii Central,Intersex,3
subcounty,,Kisii Central,Total,166906
subcounty,,Kisii South,Male,64514
subcounty,,Kisii South,Total,135134
subcounty,,Kisii South,Female,70615
subcounty,,Kisii South,Intersex,5
subcounty,,Kisumu Central,Male,84155
subcounty,,Kisumu Central,Intersex,5
subcounty,,Kisumu Central,Total,174145
subcounty,,Kisumu Central,Female,89985
subcounty,,Kisumu East,Female,112689
subcounty,,Kisumu East,Intersex,4
subcounty,,Kisumu East,Male,108304
