geo_level,geo_code,geo_version,name,Age,Total
county,44,,Migori,45-49,31768
county,44,,Migori,50-54,22109
county,44,,Migori,55-59,20512
county,44,,Migori,60-64,17109
county,44,,Migori,65-69,12957
county,44,,Migori,70-74,9767
county,44,,Migori,75-79,5655
county,44,,Migori,80-84,4037
county,44,,Migori,85-89,2316
county,44,,Migori,90-94,796
county,44,,Migori,95-99,397
county,44,,Migori,100+,188
county,44,,Migori,Not Stated,17
county,1,,Mombasa,0-4,147903
county,1,,Mombasa,5-9,129986
county,1,,Mombasa,10-14,115424
county,1,,Mombasa,15-19,100733
county,1,,Mombasa,20-24,139733
county,1,,Mombasa,25-29,142628
county,1,,Mombasa,30-34,122217
county,1,,Mombasa,35-39,89113
county,1,,Mombasa,40-44,71818
county,1,,Mombasa,45-49,52267
county,1,,Mombasa,50-54,33457
county,1,,Mombasa,55-59,24072
county,1,,Mombasa,60-64,16034
county,1,,Mombasa,65-69,10243
county,1,,Mombasa,70-74,6395
county,1,,Mombasa,75-79,3045
county,1,,Mombasa,80-84,1858
county,1,,Mombasa,85-89,803
county,1,,Mombasa,90-94,323
county,1,,Mombasa,95-99,152
county,1,,Mombasa,100+,73
county,1,,Mombasa,Not Stated,26
county,21,,Murang'a,0-4,110514
county,21,,Murang'a,5-9,114251
county,21,,Murang'a,10-14,117758
county,21,,Murang'a,15-19,105467
county,21,,Murang'a,20-24,75426
county,21,,Murang'a,25-29,64798
county,21,,Murang'a,30-34,71734
county,21,,Murang'a,35-39,68897
county,21,,Murang'a,40-44,62972
county,21,,Murang'a,45-49,56803
county,21,,Murang'a,50-54,45716
county,21,,Murang'a,55-59,42222
county,21,,Murang'a,60-64,30447
county,21,,Murang'a,65-69,28212
county,21,,Murang'a,70-74,24657
county,21,,Murang'a,75-79,14953
county,21,,Murang'a,80-84,10123
county,21,,Murang'a,85-89,6164
county,21,,Murang'a,90-94,2978
county,21,,Murang'a,95-99,1656
county,21,,Murang'a,100+,847
county,21,,Murang'a,Not Stated,14
county,47,,Nairobi,0-4,524987
county,47,,Nairobi,5-9,432712
county,47,,Nairobi,10-14,378550
county,47,,Nairobi,15-19,351853
county,47,,Nairobi,20-24,563019
county,47,,Nairobi,25-29,583548
county,47,,Nairobi,30-34,495470
county,47,,Nairobi,35-39,345796
county,47,,Nairobi,40-44,253162
county,47,,Nairobi,45-49,174932
county,47,,Nairobi,50-54,113949
county,47,,Nairobi,55-59,76601
county,47,,Nairobi,60-64,43984
county,47,,Nairobi,65-69,26383
county,47,,Nairobi,70-74,16354
county,47,,Nairobi,75-79,7437
county,47,,Nairobi,80-84,4385
county,47,,Nairobi,85-89,2050
county,47,,Nairobi,90-94,873
county,47,,Nairobi,95-99,434
county,47,,Nairobi,100+,206
county,47,,Nairobi,Not Stated,143
county,32,,Nakuru,0-4,273331
county,32,,Nakuru,5-9,267494
county,32,,Nakuru,10-14,274490
county,32,,Nakuru,15-19,235458
county,32,,Nakuru,20-24,212256
county,32,,Nakuru,25-29,180817
county,32,,Nakuru,30-34,170777
county,32,,Nakuru,35-39,130178
county,32,,Nakuru,40-44,107971
county,32,,Nakuru,45-49,88232
county,32,,Nakuru,50-54,63012
county,32,,Nakuru,55-59,50698
county,32,,Nakuru,60-64,33840
county,32,,Nakuru,65-69,26554
county,32,,Nakuru,70-74,20046
county,32,,Nakuru,75-79,11635
county,32,,Nakuru,80-84,7416
county,32,,Nakuru,85-89,4297
county,32,,Nakuru,90-94,1888
county,32,,Nakuru,95-99,1120
county,32,,Nakuru,100+,556
county,32,,Nakuru,Not Stated,41
county,29,,Nandi,0-4,105970
county,29,,Nandi,5-9,116134
county,29,,Nandi,10-14,126113
county,29,,Nandi,15-19,108741
county,29,,Nandi,20-24,80445
county,29,,Nandi,25-29,65340
county,29,,Nandi,30-34,65107
county,29,,Nandi,35-39,45099
county,29,,Nandi,40-44,40890
county,29,,Nandi,45-49,34611
county,29,,Nandi,50-54,23805
county,29,,Nandi,55-59,21436
county,29,,Nandi,60-64,16048
county,29,,Nandi,65-69,12636
county,29,,Nandi,70-74,9039
county,29,,Nandi,75-79,5989
county,29,,Nandi,80-84,3646
county,29,,Nandi,85-89,2365
county,29,,Nandi,90-94,1148
county,29,,Nandi,95-99,808
county,29,,Nandi,100+,317
county,29,,Nandi,Not Stated,2
county,33,,Narok,0-4,187896
county,33,,Narok,5-9,199037
county,33,,Narok,10-14,179417
county,33,,Narok,15-19,124823
county,33,,Narok,20-24,100613
county,33,,Narok,25-29,82955
county,33,,Narok,30-34,73302
county,33,,Narok,35-39,48687
county,33,,Narok,40-44,42215
county,33,,Narok,45-49,34607
county,33,,Narok,50-54,23502
county,33,,Narok,55-59,18353
county,33,,Narok,60-64,14373
county,33,,Narok,65-69,9643
county,33,,Narok,70-74,8053
county,33,,Narok,75-79,4215
county,33,,Narok,80-84,2999
county,33,,Narok,85-89,1544
county,33,,Narok,90-94,781
county,33,,Narok,95-99,459
county,33,,Narok,100+,362
county,33,,Narok,Not Stated,11
county,46,,Nyamira,0-4,64454
county,46,,Nyamira,5-9,78757
county,46,,Nyamira,10-14,93493
county,46,,Nyamira,15-19,70393
county,46,,Nyamira,20-24,44306
county,46,,Nyamira,25-29,41698
county,46,,Nyamira,30-34,45546
county,46,,Nyamira,35-39,30775
county,46,,Nyamira,40-44,28903
county,46,,Nyamira,45-49,24653
county,46,,Nyamira,50-54,16087
county,46,,Nyamira,55-59,20128
county,46,,Nyamira,60-64,16011
county,46,,Nyamira,65-69,10869
county,46,,Nyamira,70-74,8654
county,46,,Nyamira,75-79,4264
county,46,,Nyamira,80-84,3288
county,46,,Nyamira,85-89,1898
county,46,,Nyamira,90-94,787
county,46,,Nyamira,95-99,413
county,46,,Nyamira,100+,182
county,46,,Nyamira,Not Stated,4
county,18,,Nyandarua,0-4,69988
county,18,,Nyandarua,5-9,74903
county,18,,Nyandarua,10-14,82873
county,18,,Nyandarua,15-19,75568
county,18,,Nyandarua,20-24,48463
county,18,,Nyandarua,25-29,38926
county,18,,Nyandarua,30-34,42031
county,18,,Nyandarua,35-39,39224
county,18,,Nyandarua,40-44,35094
county,18,,Nyandarua,45-49,32229
county,18,,Nyandarua,50-54,26734
county,18,,Nyandarua,55-59,22256
county,18,,Nyandarua,60-64,14052
county,18,,Nyandarua,65-69,11319
county,18,,Nyandarua,70-74,9678
county,18,,Nyandarua,75-79,6714
county,18,,Nyandarua,80-84,4020
county,18,,Nyandarua,85-89,2269
